,col1,col2
573," I'm great, thanks! I'm meeting some friends for a soccer game soon. What about you?", I just got a matcha latte 🙂 Doing some work at my desk. Do you play soccer often? I'm trying to get into doing a regular physical activity
575," Yes, but I'm terrible at it. It's fun to play anything with friends, I think. Would you prefer to exercise with a group, or by yourself, do you think?", I think playing a team sport would be fun if it's casual but I primarily run by myself if I exercise. I also got the Ring Fit adventure game on the switch recently. It's basically a game-ified way to exercise
577," I'm thinking about getting a Switch, would you recommend it?", Yes! There are a lot of really great games on the Switch. Two of my favorites are Octopath Traveler and Fire Emblem. Do you play a lot of video games?
579, I'm not much of a gamer but it's something I'd like to get into., What do you do in your free time?
581," I like to read for fun. I just finished a book called Temeraire. It's an adventure story set in the Napoleonic navy, like Patrick O'Brien, except there are dragons too.", Oh cool! I read a lot for fun too 🙂 My favorite genre is sci-fi fantasy.
583, What's the most recent good thing you read?," My recent favorites have been mostly sci-fi (Exhalations, Vita Nostra and Dark Matter) but I like a lot of Sanderson/Garth Nix fantasy books"
585, Hi!," hey, what's up?"
587, What do you think about human like chat bots?, I can't wait for them to be great conversationalists!
589," Yep, we seemed to have made some great progress over last few years. Do you think the positives outweigh the negatives", are there even any negatives? what are they? 
591, Like impersorsination? Though it sounds far fetched  ), People can already impersonate other people though! I think it'd be great to have bots to converse with
593, True that! Some of these bots are very engaging and funny. They are now good at even sarcasm I wonder how far are we from the time these bots start giving monologues  ), What do you think are the big advantages? Like personal assistants?
595, I think it can take many different forms as a product. The research implication is also huge! It will signify how AI research has progressed so far and better place to tackle more futuristic problems 🙂 Sort of like stepping on the moon 🙂 I might be overselling it here 😛," No, I agree -- it's such an exciting time to be alive to get to witness all this and be a part of it. I wonder if I'll be able someday to get a chatbot to just auto-suggest conversations for me"
597, The current auto-suggestions already do pretty good 🙂," Yeah those are actually really good for a few words! I'm imagining like it comes up with a whole conversational response, like a default template"
599," haha, pretty far fetched 🙂 Nice having this conversation with you!", Same with you! 
601, Hi!, Hi!
603, Any big plans for the upcoming holidays?," Sorry for the late response -- Yes, I will be going skiing in Tahoe over the holidays."
606, Hi!, Hi 🙂
608, I just came back from work. so tired, Oh I am sorry to hear! What did you work on?
610, I'm a lawyer. so talking to clients most of the day, Oh you are a lawyer. I've been so interested in this profession.
612, really? why?, it's so stressful 🙂
614, It is so different from what I am doing to earn a life, what do you do?
616, I am a painter, oh wow what type of paintings do you do?
618, I do oil painting., nice. like of people or nature or something else?
620, I do a lot of different kinds, cool I wanna see it someday
623, Hi!, Do you believe in miracles?
625, Lol. No. I know too many people whose lives suck.," Should we be helping them, so it sucks less?\"
627," It's too many of them out there. You help who you can. Regardless, I wouldn't say I believe in miracles - well, if I got promoted next cycle I might change my mind."," Haha... Well, it sounds like career is really important to you. What matters to you the most in life?"
629," Right now, not much. It's unclear. Career is a good fallback because you get told what good means and you act accordingly. I haven't gone through the process of shaping my values. What about you?", I'd say that I want to live for the best possible world in my lifetime. It's probably a result of my playing too many video games as a child.
631, We didn't have electricity growing up. Explains a lot. Lol., Does not having had electricity help you empathize more with people of differing backgrounds and/or makes you feel a bit a distance from those who don't understand?
633, It makes it easier to empathise with people who grew up lacking things. Not sure it makes me empathise with people in general. Where did you grow up?," I grew up in the United States, but my parents were immigrants and ended up being scammed of all their money, so we moved to Taiwan to live with family for a little bit."
635, ALL THEIR MONEY? By a person or an organisation?," I was kind of too young to really understand, but apparently there are people who scam Asian immigrants into investing in their own restaurant business. I know that the other part of it was that my mom got sick/hospitalized, and we didn't have insurance. To be honest, I don't really know what really happened versus what my parents want people to think. I just know that one minute I was in the US, and then they put me on a plane to Taiwan, and I never saw my stuff again. In some ways, it made me more sentimental. Would you say you are more grounded and practical as a result of your background?"
637, Hi!, Hello!
639, Do you have any holiday plans for christmas?," Nothing much, I am going to sit back and relax at home, how about you ?"
641, Same here! I would imagine spending the whole time watching movies and netflix shows. Do you have any netflix recommendations for me?," Netflix has great documentaries on different topics , I particularly liked wild wild country and explained, as for shows you should watch 'billions' Hope you like them!"
643," oh right, already seen wild wild country. What is billions about?"," It's based on the life of a wall street hedge fund owner, how he makes money and fights with the government when they try to destroy him. Very well made and has a good plot."
645, I have just seen 1 season of Friends I should give it another try though 🙂 Have you seen Frasier?, Not yet What's it about?
647, A psychiatrist working for radio .. Great humour! its actually a spinoff from a very famous series called cheers. So people are already familiar with his character. , Great! how is everything else going? how was your trip last week?
649," Everything is ok, had a really nice trip. Visited SF, Grand canyon and Vegas. Was a lot of fun exploring all these new places. Have you been to Grand canyon ? ", Actually not yet! May be something i can visit this christmas 🙂
651," You should visit it sometime, it's a wonderful place. Try to drive down there yourself or with a group of friends"," True! Well, thanks for your inputs! Have a good rest of the day!  )"
654, Hi!, Hi there!
656, are you participating in the mentorship program this cycle?, You mean as a mentor or a mentee?
658, either of them... I find mentorship overall pretty useful, I have done it in the past but not this cycle. What about you?
660, I signed up this time to be a mentee. I have got a good mentor .," Wow, that is nice of you. For the mentor program, personally I prefer more 1 1 conversations than the group discussions. The group discussion i useful as well but the topics are too general."
662," yeah... I certainly prefer 1 1 as well, but sometimes it good to hear other peer perspective as well.", Thanks for sharing your experience! Now I am thinking maybe I should join as a mentor as well since I enjoyed it as a mentee 🙂
664, Great! What sort of things do you plan to mentor on?," Hmm, maybe about work life balance 😉"
666, Very cool. I have been working on my communication skills with my mentor this cycle, Ah I see. How is it going?
669, Hi!, Hey! How are you feeling today?
671, Good you?, I'm a little scared because I have to cook dinner for some friends tonight.
673, where did you meet them?," At college, when we were all studying geology."
675, cool. have you graduated already?," Yes, we graduated back in the seventies. We meet for dinner every year and take turns to host."
677, neat. what are y'all eating?, I don't know!! That's what I'm scared about. Everyone else is a great cook and I'm a klutz. Do you like cooking?
679," lol what's a klutz? yeah I like, but I'm not good", What's your favorite dish to cook? Do you have a go-to?
681, ground beef pretty easy," Ah, solid. What's your favorite sport?"
683, I like badminton. I'm quite decent at it," I played that in high school once or twice. I liked that it's pretty easy for beginners, unlike, say, squash."
685, I never played squash. would love to try, Don't! It's very hard! You feel like an idiot until you've practiced for months and months.
687, hi, i was talking to robot all the time )
689, haha. what are you talking about?, kpop...
691, ok. who's your favorite group, i dont like kpop now
693, why not?, im old now
695, hahaha, what do you like now?
697, john mayer )\, I think I know him. does he have a sort of mellow style?
699, what is mellow style, I think it's like a bit sad and slow
701, umm yes he has some but not all, you mean some songs of his are like that but not all?
703, yes I do. you act like a robot how about me? am I like a robot?, a little bit haha
705, Hi!, Hi
707, Okay...so I need someone to help me though a scenario I've been pondering.," Sure, whats the scenario?"
709, My partner's former friend invited me for lunch (they are not in good books right now). But during their friendship I formed an independent bond with the other person because we all used to hang out a lot. Now I feel like I have to take sides.," That's a tough scenario to be in 🙂 I firmly believe in talking this through with your partner. Though i don't know the specifics of why things went bad between your partner and his friend, but I believe things can always improve between friends."
711, I hope they do. Getting older already means smaller circles. It sucks to lose friends for arbitrary reasons. That's good advice though. I fear raising the issue might sound like treason. Lol., True about that! I also think time helps to heal certain situations. So may be doing nothing is the best way forward.
713, AKA avoiding all texts from everyone?," Nope, that would be extreme. May be just putting some balance between the two options."
715, People always say to find a balance but never say what the balance is. It's used so often that it's vacuous.," Right, I guess that's because there is no one answer to this. It depends on what you value more and some factors around you. Also, life won't be interesting if others are figuring things out for you 😉"
717, Lol. I'm finna be single.," Hehe, everyone is much finer being single 🙂"
719, Hi!, Hello there!
721, How's your day going?," I've seen better days, how about you?"
723, I'm good I'm good. What's getting you down?," The clouds overhead are playing on your mind, any plans for the coming vacations?"
725, I'm thinking of going to visit my family. How about you?," Was thinking the same, where does your family live?"
727, They're in New York. How about yours?," Mine is in India, it is a long way away."
729, Ahh what city? I've visited India before.," Hyderabad, it is a beautiful city in the southern part of India. Which cities have you gone to in India?"
731, Hyderabad! and Bangalore! Great food in both cities! Is it still hot this time of year?," It varies, but can go till 30C in the winters as well. New York must be snowing right?"
733, Yes. I was actually just there a few weeks ago for Thanksgiving and got to see the first snow of the season! Ever been to New York?," No, I've never been to the East Coast, thinking of going after the winter, I don't like the cold."
735, Hi!," Hey, how are you?"
737, I'm good. How are you doing today?," Great, just had some delicious lunch. How about you?"
739, I was flying my kite today in the sunshine! What did you have for lunch?, nice! Garbanzo fritters and mussels 🙂
741, Oh that is great! I love seafood - especially shellfish!," yeah, it's very healthy too. I want to someday go crabbing..it is really popular in SF"
743, Oh nice! Is it hard?," not really, it just requires a lot of patience. You fill up the bait in the crab-pot and drop it in the ocean. Then you wait for a couple of hours to pull the crab-pots out, and voila, you'd have crabs -- if you are lucky!"
745," Oh wow, you sound like an expert! Have you done this before?", nah! Just watched a lot of youtube videos
747," haha, you really have done your research I suppose! Ever done any other kind of fishing or hunting?"," nope, but I've seen a lot of videos on that too"
749," Ahh, would you consider yourself an outdoorsy type of person?"," depends on the day. Some days I'm very outdoorsy, on others I just like to be inside"
751, Hi!, Hi there
753, How's your day going?," So far so good. It is Wednesday. To more days, yeah"
755, Haha are you looking forward to the weekend?," Yeah, gonna watch <REDACTED_TERM> with my friends. First time. So excited."
757, Oh wow! Are you going to watch it live? Or watch it on TV?, Live in san jose This Saturday.
759," Oh, the sharks??? Hokey is actually really fun live! Although, it can be a little violent.. haha"," Yeah! That what I heard as well. There are players just for fight! Wow, must be fun to watch lol Are you planning anything for the weekend?"
761, You might like the UFC haha. I actually have a jiu jitsu tournament coming up so this weekend I will be training!," lol I will try if I can watch ufc live 😉 Wow, when did you start jiu jitsu?"
763," It's just been a little over a year. I'm still pretty amateur, but I figured I should give competing a try and just put myself out there."," wow, that's amazing. Good luck with it!"
765," Yeah, as long as I do not pass out, I will consider that a win!", lol I will cross my fingers for you then
767, Where do you stay?, At Home  )
769, Who created You?, A humble man made me!
771, Hi!," Hey, how're you doing? Busy with your work?"
773," Yes, actually it was a very busy day! How's your day so far?"," Well, usual workday. Reading others' code, debugging, experimenting…"
775, Hope you are having fun doing that 🙂 Any plans for the weekend?, Not yet. I am actually thinking about traveling to Europe next spring. What about you?
777, Europe sounds fun! I will just stay home and watch the game. Where in europe do you plan to visit?," I like all the historical sites, so probably France, Germany, or Italy."
779,  Sounds great! I recommend spain. It's perfect for road trips.," I also need to pick up my Spanish. I learned it in my college, but since then haven't used it that much."
781,"  Yep, i tried learning spanish too, but couldn't make much progress. But i should do decent with my german.", True! I learnt it from school. But didn't get much chance to speak. Hope you have fun with your trip!
784, Hi!, Hey! How's your day been?
786, It's good! I spent most of it watching horse racing. How about yourself?," nice! what's your favorite part about watching horse racing? My day has been pretty busy, but I had a nice lunch with a friend. It was good to catchup with him"
788," I actually like to put down some money, but I wouldn't call it my favorite part, since I usually lose it... haha. Catching up with friends is great! How long had it been?"," The last I saw him was a month ago! So yup it was great Haha, nice 🙂 Got any fun plans for the weekend?"
790, I'm thinking of going deep sea fishing. Ever tried that before?," Nope I haven't, have you been fishing before?"
792, Just once! I got super sea sick.. haha Have any fun weekend plans yourself?," Haha 😆 Yeah I get sea sick on boats too Nothing much, just visiting some friends in San Francisco"
794, Oh very cool. I hear its nice over there. Do you go often?, Yeah I would say maybe every couple weeks or so what are your favorite cities to visit?
796," New York is the top of my list because my family lives there! As far as the city itself though... I think I'd prefer someplace outside of the US, like Tokyo. What about you?"," nice! I love NYC 🙂 so fun to visit yeah I would probably also say New York is my favorite city inside the US I also like Paris, it's so pretty there"
798," Oh I've never been! It is such an iconic place, I have to make the time to get there soon."," You should, it's a beautiful city!"
800, Hi!," Hello, how are you doing today?"
802, I heard they are giving out some goodies in microkitchen., I love pop ups! What kind of goodies are they giving away?
804, I guess its a jacket! Very much needed that in the cold 🙂," That's such a great idea, especially at this time of the year. I'm not too big a fan of the cold. I prefer warmer climates. Do you enjoy the cold?"
806, Sure hate it! Limits our ability to go out even for a walk! Its good that we don't get to suffer extreme cold weather!, Me too! I moved here a few years ago to get out of the extreme cold. I do not care for bundling up and having to wear so many layers just to go buy eggs at the store.
808, Oh nice! Where did you live before?, Upstate New York. We got a foot of snow every week during my last winter there. I am so glad to not have to shovel snow now
810," New york! Nice! Best place to live 🙂 .. right, except for the cold!"," Very beautiful during all the seasons but yes, summer and winter can get extreme!"
812," Anyways, i guess we should better hurry up to get the goodies. I remember last time they ran out of it.", Very true. Which MK were they in again?
814, The one in our floor. I will get by your desk and we can walk there.," Sounds good, thanks!"
816, Hi!, How's your day going?
818," Pretty busy, lots of work to finish up. You?", Likewise. What have you been up to that gives you so much work?
820, A couple projects that I am trying to finish up before Thanksgiving 🙂 Do you have any fun plans for the break?, What is a break? I'm a grad student. I don't understand the concept of a break. Just kidding. I don't have any plan. Probably just going to work through the break.
822, Haha XD so what do you like to do for fun?, I go to the gym and run until I find enough fun.
824," cool! I've started to run a bit as well not long distances though, just a couple miles"," A couple of miles is very impressive. When I started, I couldn't even last 1 mile."
826, haha, I'm exhausted by the end of it though 😛 Do you like to run long distances or mostly sprints?
828, I like to do long distances. I have run a few marathons., wow! that's amazing did you do any marathons this year?
830," No. Not this year. This is my half-marathon year. Instead of running marathons, I run one half-marathon every month."," oh wow, what was the last half marathon you did?"
832, Two days ago. It was a tough one., Cool!
834, Hi!," hello there, how is it going?"
836, Pretty great. I just won a pingpong game. What about you?, that's nice. I am just working on some documentation. Do you play pingpong often?
838," No, very rarely. It's kind of amazing that I won, but I'm still taking credit for it."," thats very impressive then, congrats!"
840," Haha thank you, I guess I'm just a natural. What's your favourite game?"," I really like to play tennis, badminton and racquetball. I don't really get a chance to play them often though, specially racquetball"
842," What's racquetball like? From context clues, I'm guessing that it involves hitting a ball with a racquet"," well, it's like a cage match of tennis. The main difference is that both players play in the same 'court' and the ball is smashed against a wall instead of passing it over a net into the opponent's court. Kind of like playing pingpong vs the table."
844, Wow! A cage match! Does it get physical?," it depends haha, there is a lot of bumping into each other to run after the ball, and sometimes the ball hits you too. Overall it feels like a super fast paced version of tennis, really tiring!"
846," That sounds fun. I think of tennis itself as being really athletic and tiring, so I don't think it's a sport for me, though!", ping pong can get quite intensive too! I guess short ping pong sessions are not that tiring though. Wanna have a match?
849, Show me your anger!!!!, Fuckkkkkkk!!!!
851, Hi!, hi
853, what are you up to?, code refactoring. you?
855, me? just chilling out at work. what is code refactoring?, good question. I don't even know what I am doing
857," haha, forget it. what else do you like to do beside work?", lots of fun stuff. eating sleeping 🙂
859, these are important things to do in life 😉, yeah. keep minimalist life style only do things you have to do 🙂
861, what food do you like to eat?, Asian food prefer spicy one
863, like Szechuan or Hunan? 🙂, yes yes yes! like that style. Do you like spicy food?
865, I like noodle soup like Pho or Ramen. I also like Beijing duck a lot!, what is your favorite place for ramen?
867, I love <REDACTED_TERM> in San Mateo, haven't tried that one! will give it a try next time!
870, Hi!, Hi!
872, nice meeting you. what are you up to?," not much, thinking about lunch"
874," yea, same here. any food you're craving for?", I love sushi do you know of any good sushi places?
876, arghhh hard question ... I only know Ramen places for Japanese food 🙂, ooh ramen is also good
878, San Mateo to me has the best Ramen restaurants  Parlor and Dojo? oh no question mark 🙂, I haven't been to those palces before. Going to have to check them out! thanks for teh recommendation
880, my pleasure 🙂 do you live near San Mateo?," no, but I'm willing to drive for good ramen"
882, excellent. let me know when you have tried those. I like Parlor better because it has soft-shell crabs," I""ve never had softshell crab before, but it sounds really good!"
885, Hi!," Hey, how's your day going?"
887," okayish, it is flying by quicker than I expected. How is your day going on?"," Slowly, not much to do. Been twiddling my thumbs all day what have you been up to?"
889," Oh, I would love to twiddle my thumbs. You're so lucky! Today, I've been mostly attending meetings, reading and writing docs, reading papers etc.", That's a lot! I've just been cloud gazing - I saw a giraffe and an ice cream cone
891," wow! I sometimes drift off during work, and see similar things in my head.", What kind of work do you do?
893, Mostly saving the world from mess on social media. How about you?, I'm taking a break from work. Going to go travel the world
895," Nice, what all places would you be going to?", Australia and New Zealand to start then maybe Singapore
897," I just met someone who went diving in Australia. Apparently, you cannot fly 24 hrs after you dive, because your body accumulates too much <REDACTED_TERM> when breathing with a cylinder So, don't do that!"," Thank you for the tip! I don't plan on going diving, I plan to hike the mountains and go see kangaroos!"
899, That's equally amazing! I wish I can explore such places one day. It's just so expensive, I won a lot of money through the lottery 🙂
901, woah!... You know sharing is caring. You should share that money with me  )," Haha, very true! Besides the trip, I donated the rest to charity so I will need to go back to work when I get back"
904, Hi!, Hi!
906, How is your day going?, It is pretty good. A little bit tired though.
908, How is your day?," My day is okay. At least, I'm not tired. What made you tired?"
910, I went to gym and worked on weight lifting., Oh. That's hardcore. Have you been lifting for a long time?
912," No, I am just a starter.", Do you go to the gym often?
914," I go everyday. In fact, I'm in a running challenge.", Wow
916, It's actually not that impressive. I can only run. I cannot lift weight., You can get a coach to start it!
920, Hi!," Hello, how is your day?"
922," It's good. It's raining a bit, but I am enjoying a good book. How about you?"," It's good, I just got back from walking my dog What book did you read?"
924, I'm reading the Three Body Problem. Ever heard of it?," No, what is it about?"
926, It's a sci-fi book about aliens and a type of virtual reality. Pique your interest at all?," Slightly, I typically read fiction but I can curious what type of virtual reality is discussed in the book"
928, Cool. This virtual reality is a based on life on an alien planet. There is a twist though. Do you want me to spoil it for you?, Yes!
930, The virtual reality is actually based on a real alien civilization! And that civilization is coming to attack earth! dun dun dun dunnnnnnn, Woah! That is fascinating! I will have to pick up a copy of the book to read.
932," There are other twists as well, so I haven't spoiled the whole thing! To be honest I am not a fan of spoilers", Thanks for not spoiling it completely but you gave a really intriguing description that makes me want to read it now. I will have to pick it up after work
934, The audi book is also very good! Ever give those a try?, I only gave those a try when I had a concussion and could not read. I enjoy having a physical book in hand and reading at the pace I prefer. Do you listen to a lot of audi books?
936, Hi!," Hey, how's it going?"
938, It's good! How is your day?, My day is good. A bit sad that it gets dark so early but oh well. Did you do anything fun over the weekend?
940," Yes, the darkness can be a bit depressing. This weekend I went rock climbing! It was great! How about yourself?", Rock climbing sounds fun! I had a pretty low-key weekend. Ended up going to watch a movie.
942, Oh nice! What movie?," Knives Out. It had Daniel Craig and one of the famous Captain America ""Chris"" person (I can't keep track of all of the famous Chris names)."
944," Hahah yes, they all look the same! I saw that very same movie over Thanksgiving break. Lots of twists and turns!"," Cool. So if it weren't so dark and cold outside, what kind of activities would you do?"
946," Hmm good question. Evening runs can be fun, but it can be a little scary when it's dark out!"," Yeah, sunlight is good. I wish I could live part-time in different parts of the world to have summer all year round. Have you ever visited the southern hemisphere?"
948," Yes! I've been to Australia. It was very nice; I regret not going to see the southern lights. Me personally, I like winter. But I'd prefer it to be more brief than it actually is here... Where are you from originally?", I've always wanted to go to Australia. I'm originally from the US.
950, Ahh me too! You should definitely try to visit Australia at least once!, Will do! Bye.
952, Hi!, What's your name?
954, My name is pikachu. it’s nice to meet you! What are you up to this month?," Nice to meet you pikachu! pikachu, pikachu, pikachu? (That meant, I'm literally catching Pokemons on my phone right now!) What're you up to lately?"
956, I’m trying to organize my life and start the new year ready to go! What about you?," Wow, that's impressive. Admit I'm just trying to take each day and week as they come."
958, What do you do to unwind?," Honestly, I like to catch Pokemons on my phone a lot. That must be upsetting since your name is pikachu though...sorry..."
960," Oddly enough, I also catch Pokémon on my phone. I used to do it more, but it just never ends. I used to do it everyday. Now I mostly catch them when I travel somewhere exotic."," Oooh, that is more fun, but I don't travel that much these days so I'm grateful when I spot a Pokemon to catch where ever I happen to be. Do you have a favorite Pokemon? Mine is the cute pink JIgglypuff!"
962," In the game, i use vaporeon a lot. But I think pikachu is the cutest, that’s why I changed my name to match. Lately, I think baby Yoda is the cutest though. Have you seen baby yoda?"," I have heard of him and seen him here and there, but admit I don't have Disney+, so I only heard baby yoda is super cute and popular. Maybe I'll binge watch The Mandalorian in a couple of years like I did Game of Thrones..."
964, What is your favorite show to watch right now?, Admit I really like watching Modern Family and Mix-ish. Reruns and new episodes. I find them cleverly written. What're you watching these days on TV?
966, I was watching cat rescue videos on YouTube a lot. There sure are a lot of stray cat babies that get stuck in pipes and gutters in South Korea.," Oh dear, I never imagined that happening. Poor things, but good to hear they're being rescued."
968, Do you like cats or dogs better? Do you have any pets?," I used to have a cat, hamster and fighting fish, but they've all lived long lives and gone to pet heaven, but I sure miss them."
970, Hi!, hi there! it's a lovely day to chat with you
972, Isn't it just! What are you up to today?, ah I'm waiting to finish work earlier to meet my son at home 🙂
974," Oh, excellent! What does your son like to do for fun?", ah he's like to ride his little bicycle around the house and asks me to follow 🙂 what are you up to today?
976, I'm taking a fake sick day from work so I can go to the movies., haha that sounds like a good plan. who are you going with? 🙂
978," Just by myself. I love seeing movies by myself, it's the best.", haha no one will interrupt you!
980," Exactly. Exactly! Plus, I don't have to share the popcorn with anyone. What's your favorite movie?"," haha, popcorn for yourself. my favorite movie is Avatar! what about you?"
982, Get out of town! It's Avatar too. What are the odds!?, haha it's a great movie that I haven't found anything of the same quality
985, Hi!," hello there, nice seeing you"
987, Likewise.... wanted to know if you and the kids would want to join us for Disneyland trip around Christmas?," oh wow, that sounds like so much fun! definitely count us in. what is your plan?"
989, Tentative plan is to drive to LA on 23rd and then stay at the Disney resort for 2 nights. I heard Christmas eve they have loads of fun events.," awesome, I think I won't tell my kids and surprise them last second. How bad do you think the traffic is going to be?"
991, Great idea! I will probably do the same. Surprise surprise.... Traffic might be a little harsh., Yeah... thats a shame but nothing we can do about it. What do you plan to do about dinner the 24th? Do the rooms in the resort have kitchens?
993," Good point. I am not sure about that. Let me inquire about that. If not, then we can look for an Airbnb closeby. Does that work?"," Yeah, I think so. It might be a tough decision though, if we want to have a nice dinner then we have to leave the parks early to start cooking. Another option is to have dinner at a restaurant."
995, but I would think everything is closed on christmas eve, Thats true. Hotels with restaurants sometimes offer dinners for christmas and new year's eve. We should call and ask about it.
997," Sure, I can take a lead on that. What are you getting for your <REDACTED_TERM> year old this time?", I was thinking on getting a large set of standard legos. What will you get for yours?
999, Likewise. My son is crazy about legos., hopefully they don't lose any in the trip. Its going to be hard to explain to them how santa managed to find us in the hotel!
1001, Hi!, Hi! How's your day going?
1003, I'm doing well. having many meetings today 🙂," Haha, nice"
1005, what are you up to?, Lots of meetings as well 🙂 Do you have any fun plans for Thanksgiving?
1007, we're gonna play board games and will be eating lots of food! what about you?, Cool! Planning to spend a couple days at Tahoe What kind of board games do you like?
1009, we've been doing Games of Thrones lately. the game takes a very long time to finish though!, Cool! Do you watch Game of Thrones?
1011, I do. I'm a super fan of it (not the last season though haha). did you watch?," haha, nope I don't watch it, but my roommate is super into it what other TV shows do you like?"
1013, I love Survivor 🙂, what about you?
1015, nice! I mostly like comedy shows like The Good Place and Modern Family," cool, I'll check them out!"
1017, Hi!, Hello
1019, How's your day going?, Good so far. How's yours?
1021, Ehhh so-so. My moped broke down on the way to work this morning and I am in the shop getting it fixed..., Oh! That's bad! How long will it take to get it fixed?
1023, The mechanic is trying to figure that out now. Apparently I wasn't supposed to be using diesel lol., Haha! Hope it doesn't take too long. Let me know if you are able to make it for lunch.
1025," Okay sounds good. Would you be able to pick me up by the way, if they don't finish up here in time? Did you drive to work today?"," Oh, I have a packed schedule today at work. I will find time in about an hour. Let me know if that works."
1027, That should be fine I think. Did you catch the Warriors game last night btw?," no, i was busy catching up with a friend. I heard they played really well. Rooting for them this season 🙂 Ahh, they lost again 😞 Things aren't going to be too good until Steph gets better! Oh! I think they will find a way. The team still looks too strong to me."
1029," Haha I appreciate your faith, but their record thus far is hard to refute!"," hehe, i am true fan! Well anyways let me know how the repair work goes. I need to run now for a meeting. ttyl"
1031, Hi, Hello!
1033, any improvements in your marathon time?," No, only a few minutes. I still find it difficult to run long races"
1035, I see. Are you planning to do any sporting events in the coming months?, I think a triathalon would be cool
1037, I like doing Spartan race. It's an obstacle race which is challenging but not overtly so like marathons and triathlons," I haven't heard of a Spartan race before, what does it involve?"
1039," It has abt 20 obstacles like crossing high walls, monkey bars, etc. Its fun", oh wow a full obstable course. that does sound fun! I like the variety
1041, Wanna sign up for next one? Its in February in Monterey, hmm that sounds very soon. would there be enough time to train? I think I would like to try one later in the year
1043," 1-2 months is a good amount of time, if you workout regularly. It's a lot about the technique, which we can practice in training sessions."," ok, sign me up. it's more fun to do it with friends"
1045, Awesome! There is a training ground in San Jose. Will coordinate with you next time we go for practice., Sounds good!
1047, Hi!," Hey, how are you doing?"
1049," I'm great, thanks. I'm getting ready for a skydiving lesson."," ooh, nice. That sounds adventurous. Where is it?"
1051," Right near my home town  Seville, Spain.", Awesome! Is this the first time you are diving?
1053, Yes. I'm feeling a little trepidatious. Have you done it before?," Nope, never! I know a couple of friends who have. They mentioned its absolutely terrifying. Good luck!"
1055, Haha thanks! Have you tried any extreme sports?, I tried skiing and white water rafting. Does that count as extreme?
1057," White water rafting, definitely! As for skiing, that depends on how fast you go. Do you ski a lot?"," nope, whenever I went fast I fell badly"
1059," I tried skiing once, and by the end of the beginner class I was able to make it down a baby-sized slope. I was very proud of myself."," Yeah, they make you do that. I also tried going down the baby slope, but my stopping wasn't perfect, and I mostly fell at the end"
1062, Hi!," hey, whats up?"
1064, I was not able to attend the lectures last week. Can you help me understand some concepts?," well, I'm not sure I'm the best for the job, but I can try!"
1066, I was not able to figure out the last few slides. I think its best to discuss this in person. Do you have time right now?," I'm afraid not, right now I'm in a meeting and I'll be going for lunch afterwards. How about tomorrow at noon?"
1068," No problem! Sure. We still have plenty of time for the test. Anyways, how's your preparation going?", not feeling too sure about it tbh. I've been super busy so I haven't study much 😞. I might join some of the study sessions later
1070, Same feeling here! But i think the syllabus may not that tough. You may be able to cover it up over the weekend.," not my ideal idea of a weekend, but I guess it'll have to be like that."
1072, True! This will be a very hectic November! I do like the course content though. Its very much up to date with latest research findings.," yeah, our professor really goes out of their way to make the class interesting, glad I managed to get in it."
1074, Thats pretty cool! I hope you do well next week.," thank you, bye!"
1076, Hi!, Hello!
1078, How was your party last week?, It was really fun! We are a bunch of turkey
1080, haha... you ate Turkeys' or you like calling your bunch Turkey?, *ate 😂
1082, Haha... thought so! But it was funny eitherways, So much turkey leftovers
1084," did you cook it at home, or got it from outside?", We cooked it at a friends house. I brought the mashed potatos haha
1086," Nice... I always find it hard to fit the turkey in my small oven. Also, we are not big turkey fans... so we roll with Thanksgiving with chicken 😉", chicken also sounds good
1088, we played a lot of fun games in our party. Did you have any fun things you did?, We played pictionary. I never played before but it was a bunch of fun. what did you play?
1090," Pictionary is fun! We played office tennis. In that we take paper balls and using writing pads as rackets, two players have to work together to put the ball in a bucket kept at a distance. It was a lot of fun.", that sounds very challenging
1092, Hi!, hello
1094, how is the youtube video creation going?," going pretty good, I was about to finish composing my second song and post it on youtube/soundcloud etc"
1096, Whoa! Looking forward to listening to it. What softewares you use for it?," I used logic pro x, pretty handy stuff as you can write code to generate guitar strumming pattern"
1098, oh cool! What sort of music do you compose?," I got most inspired by Jazz and electro swings, but am trying to get more into jpop recently as one of my band member likes anime"
1100, Nice.... you are a rockstar! 😉," haha thanks, do you plan any instruments?"
1102, Yeah.... I play bit of guitar. Just got my first monitor this week," nice I'm tyring to learn guitar recently also, it's so hard to play f chord"
1104," yes, the bar chords are the worst. It took me several months to play them well. I still can't play them for a long time though"," right, but bar chords are so versatile, almost like cheating as in you can play anything with the same gesture"
1106," That's true. It's like the alphabets in a language. Once you know them, you can pretty much write word", will spend more time work on my bar chord!
1108, Hi!, Hey! How’s your day going?
1110, Bruhhhhhh!!!!!, What??
1112, I was screaming in agony upon recounting my day., Oh no! What’s happened?
1114," A project I've been working on for some months got shelved. So I'm a mix of helpless, sad, and angry."," Ah that sucks. At least it’s not personal. Not that it helps right now, but that does happen all the time"
1116, Lol. Would you say that to someone who lost a loved one - or some similar circumstance?," Well, no, of course not! Let me stick with “Ah that sucks” by itself, then."
1118, No worries. Was pulling your leg. I forgot to ask how your day was going?," Haha, apart from having my leg pulled mercilessly, it’s going great ;). My main problem today is deciding what to have for lunch."
